CGATS.17
ORIGINATOR	"BabelColor PatchTool, version 4.7.0 b362"
LGOROWLENGTH	12
CREATED	"2019-01-24"  # Time: 1:28:23 PM
INSTRUMENTATION	"i1Pro 2"
INSTRUMENT_SN	"1052943"
MEASUREMENT_SOURCE	"Illumination=D50 ObserverAngle=2 WhiteBase=Abs Filter=D50"
ILLUMINATION_NAME	"D50"
OBSERVER_ANGLE	"2"
FILTER	"D50"
MEASUREMENT_CONDITION	"M1"
WEIGHTING_FUNCTION	"ILLUMINANT, D50"
WEIGHTING_FUNCTION	"OBSERVER, 2 degree"
KEYWORD	"DEVCALSTD"
DEVCALSTD	"XRGA"
#
# THIS FILE CONTAINS REFLECTANCE MEASUREMENTS MADE WITH PatchTool Patch-Reader
#
# Chart_type: "PatchTool file"
# Reference_file: "P2P51.txt"
# No_rows: 12
# No_columns: 25
# No_samples: 300
#
# CMYK space for the CMYK data in this file: 
# NOTE: The CMYK data and profile parameters were copied from the opened PatchTool reference file.
# Profile name: 
CMYK_PROFILE_NAME	"Japan Color 2001 Coated"
# Profile path: 
CMYK_PROFILE_PATH	"OWC Aura SSD:Applications:BabelColor PatchTool 4.7:Profiles:JapanColor2001Coated.icc"
# Rendering intent: 
CMYK_PROFILE_INTENT	"Absolute Colorimetric"
# Black Point Compensation (BPC) setting: 
CMYK_PROFILE_BPC	"NO"
# 
NUMBER_OF_FIELDS	42
BEGIN_DATA_FORMAT
SAMPLE_ID	SAMPLE_NAME	CMYK_C	CMYK_M	CMYK_Y	CMYK_K	SPECTRAL_NM380	SPECTRAL_NM390	SPECTRAL_NM400	SPECTRAL_NM410	SPECTRAL_NM420	SPECTRAL_NM430	SPECTRAL_NM440	SPECTRAL_NM450	SPECTRAL_NM460	SPECTRAL_NM470	SPECTRAL_NM480	SPECTRAL_NM490	SPECTRAL_NM500	SPECTRAL_NM510	SPECTRAL_NM520	SPECTRAL_NM530	SPECTRAL_NM540	SPECTRAL_NM550	SPECTRAL_NM560	SPECTRAL_NM570	SPECTRAL_NM580	SPECTRAL_NM590	SPECTRAL_NM600	SPECTRAL_NM610	SPECTRAL_NM620	SPECTRAL_NM630	SPECTRAL_NM640	SPECTRAL_NM650	SPECTRAL_NM660	SPECTRAL_NM670	SPECTRAL_NM680	SPECTRAL_NM690	SPECTRAL_NM700	SPECTRAL_NM710	SPECTRAL_NM720	SPECTRAL_NM730
END_DATA_FORMAT
NUMBER_OF_SETS	300
BEGIN_DATA
289	A1	0.00	100.00	100.00	0.00	0.034670	0.029006	0.027220	0.027496	0.027718	0.028162	0.028206	0.027757	0.027161	0.025562	0.026931	0.035996	0.051345	0.057061	0.050191	0.044151	0.041367	0.036981	0.031433	0.030106	0.055325	0.181701	0.404572	0.599913	0.715605	0.774081	0.803876	0.820367	0.831386	0.839035	0.846405	0.853517	0.860421	0.865308	0.867501	0.870426
290	A2	100.00	0.00	100.00	0.00	0.020380	0.029231	0.035892	0.042906	0.045458	0.046764	0.048728	0.052552	0.058953	0.065045	0.084004	0.145797	0.280468	0.409024	0.421216	0.359087	0.279574	0.198761	0.129215	0.084688	0.062705	0.052023	0.044313	0.040119	0.039384	0.040052	0.042598	0.049502	0.059553	0.064748	0.062654	0.056312	0.047076	0.042812	0.049916	0.073910
291	A3	100.00	100.00	0.00	0.00	0.040990	0.068284	0.103420	0.148429	0.187938	0.216007	0.235442	0.235310	0.213549	0.183236	0.151713	0.125389	0.100299	0.075561	0.054579	0.041325	0.032108	0.022470	0.015233	0.013792	0.018008	0.030635	0.043567	0.048270	0.050090	0.051509	0.054199	0.061692	0.072543	0.078200	0.076023	0.069484	0.059536	0.054816	0.062134	0.087090
292	A4	0.00	0.00	0.00	100.00	0.012752	0.012983	0.014812	0.016051	0.016199	0.016126	0.016550	0.017183	0.017159	0.017375	0.017657	0.017689	0.018102	0.017942	0.017755	0.017618	0.017593	0.017295	0.017064	0.017276	0.017398	0.017648	0.018064	0.018572	0.019218	0.020059	0.021014	0.021936	0.023249	0.024143	0.025167	0.026223	0.027613	0.029212	0.030712	0.032824
293	A5	100.00	100.00	100.00	0.00	0.017047	0.022423	0.027361	0.032144	0.035459	0.037747	0.040499	0.041486	0.040588	0.038986	0.040335	0.051216	0.069272	0.073975	0.062327	0.050419	0.040740	0.030227	0.021681	0.018390	0.021130	0.033486	0.045561	0.049747	0.051224	0.052417	0.055381	0.062750	0.073273	0.078715	0.077060	0.070477	0.060555	0.055748	0.062801	0.087940
294	A6	50.00	58.00	58.00	0.00	0.071577	0.083999	0.100697	0.125838	0.145168	0.155025	0.158036	0.158601	0.155281	0.150364	0.150359	0.169583	0.207854	0.234510	0.228343	0.210102	0.191085	0.167477	0.143455	0.129309	0.138928	0.189447	0.253401	0.295028	0.316218	0.327189	0.335545	0.346804	0.360410	0.367151	0.366115	0.359554	0.349076	0.343727	0.351351	0.378282
295	A7	25.00	28.88	28.88	0.00	0.191009	0.222811	0.267540	0.348573	0.413822	0.437834	0.437365	0.430456	0.422153	0.413365	0.409397	0.425029	0.461200	0.489059	0.485674	0.466897	0.446472	0.420496	0.392182	0.374648	0.382858	0.429838	0.486359	0.524400	0.546838	0.560547	0.571049	0.582875	0.594630	0.600867	0.602005	0.600069	0.595144	0.593184	0.598741	0.618062
296	A8	62.50	70.29	70.29	0.00	0.048863	0.055862	0.065419	0.080513	0.091766	0.098692	0.102867	0.104098	0.101828	0.097499	0.098461	0.115062	0.148383	0.168668	0.160062	0.142039	0.124529	0.104339	0.084283	0.073002	0.080164	0.120410	0.172602	0.205581	0.221980	0.230131	0.236801	0.247402	0.260535	0.267402	0.265500	0.258515	0.247303	0.241418	0.249275	0.276617
297	A9	37.50	42.99	42.99	0.00	0.127407	0.148792	0.175867	0.224173	0.262269	0.277990	0.282012	0.280095	0.275654	0.268603	0.267168	0.286883	0.328061	0.358042	0.353105	0.332952	0.310856	0.283404	0.254371	0.236517	0.245369	0.295431	0.356727	0.397041	0.419176	0.431626	0.441336	0.453037	0.465959	0.473016	0.472656	0.468333	0.460136	0.455926	0.462600	0.485941
298	A10	12.50	15.33	15.33	0.00	0.282303	0.328198	0.393783	0.517918	0.626471	0.663926	0.656797	0.640012	0.627223	0.617041	0.608359	0.616964	0.640309	0.657320	0.652208	0.636324	0.620138	0.599319	0.576953	0.564232	0.570174	0.604118	0.643648	0.671299	0.690054	0.704256	0.715877	0.726771	0.737105	0.743763	0.746702	0.748458	0.747845	0.748612	0.752303	0.764456
299	A11	75.00	84.18	84.18	0.00	0.022368	0.031568	0.038627	0.047408	0.053628	0.058029	0.061648	0.062598	0.061495	0.058515	0.059618	0.072811	0.097335	0.109286	0.099339	0.084749	0.071540	0.056733	0.042985	0.035947	0.042029	0.073257	0.114407	0.139691	0.151530	0.157315	0.162566	0.172180	0.184644	0.191007	0.188841	0.181649	0.170224	0.164397	0.171919	0.199176
300	A12	87.50	100.00	100.00	0.00	0.017430	0.021888	0.025480	0.029753	0.032756	0.035365	0.037315	0.038264	0.037711	0.035677	0.037067	0.047106	0.063599	0.067897	0.057199	0.046385	0.037817	0.028829	0.021061	0.018374	0.023031	0.044109	0.070652	0.084984	0.091373	0.094578	0.098226	0.106692	0.118505	0.124694	0.122434	0.115374	0.104501	0.099038	0.106465	0.132657
277	B1	0.00	95.00	95.00	0.00	0.038898	0.033821	0.030485	0.030860	0.031599	0.031574	0.031758	0.031467	0.029702	0.028646	0.030174	0.040305	0.059290	0.068602	0.063126	0.057435	0.054735	0.049961	0.043484	0.041574	0.068863	0.197817	0.418197	0.608316	0.719854	0.776126	0.805130	0.821072	0.832138	0.840288	0.847934	0.854105	0.861292	0.866139	0.868217	0.871850
278	B2	95.00	0.00	95.00	0.00	0.024209	0.033998	0.042229	0.050776	0.055151	0.057097	0.059424	0.063963	0.070031	0.076757	0.096648	0.159990	0.295259	0.423306	0.436917	0.376630	0.298460	0.218549	0.148696	0.103309	0.080273	0.068854	0.060713	0.055912	0.055199	0.056165	0.059049	0.066465	0.077266	0.082860	0.080390	0.073674	0.063753	0.059287	0.066585	0.091860
279	B3	95.00	95.00	0.00	0.00	0.045834	0.074670	0.111315	0.159438	0.202669	0.232195	0.252735	0.252993	0.231523	0.201087	0.168797	0.141528	0.115382	0.088885	0.065878	0.050793	0.039758	0.028122	0.018934	0.016099	0.020442	0.035716	0.052251	0.059159	0.062105	0.064084	0.067351	0.075595	0.086734	0.092771	0.090813	0.083835	0.073122	0.067877	0.075213	0.101585
280	B4	0.00	0.00	0.00	98.00	0.014218	0.014603	0.016350	0.017634	0.017497	0.017973	0.018727	0.019043	0.019106	0.019253	0.019164	0.019279	0.019466	0.019399	0.019171	0.018899	0.018968	0.018903	0.018767	0.018906	0.018959	0.019369	0.019749	0.020290	0.020985	0.021753	0.022916	0.024060	0.025308	0.026298	0.027385	0.028502	0.030083	0.031510	0.033307	0.034980
281	B5	98.00	96.94	96.94	0.00	0.020827	0.026726	0.028628	0.033506	0.037580	0.038887	0.041993	0.042767	0.042070	0.040284	0.041761	0.053643	0.073005	0.078436	0.066358	0.053675	0.043281	0.031914	0.022492	0.018791	0.021567	0.034674	0.047573	0.052060	0.053988	0.055223	0.057936	0.065461	0.076239	0.081994	0.079882	0.073170	0.063245	0.058031	0.065289	0.090763
282	B6	50.00	49.00	58.00	0.00	0.082932	0.096346	0.115447	0.145847	0.168452	0.179168	0.182559	0.183559	0.181713	0.178222	0.181240	0.206957	0.258643	0.297563	0.294784	0.273889	0.250052	0.220752	0.190715	0.172042	0.178714	0.222699	0.275086	0.307806	0.324705	0.334094	0.342403	0.353641	0.367354	0.374277	0.373096	0.366665	0.355592	0.350031	0.357649	0.384326
283	B7	25.00	23.88	28.88	0.00	0.203222	0.236299	0.282650	0.366686	0.436923	0.462915	0.462229	0.455034	0.447948	0.440314	0.437910	0.456961	0.499527	0.533628	0.532405	0.513030	0.491136	0.463191	0.433184	0.414484	0.419734	0.459145	0.505172	0.535789	0.554685	0.566984	0.577052	0.588786	0.600477	0.607270	0.608920	0.606837	0.601524	0.599408	0.604542	0.623790
284	B8	62.50	61.28	70.29	0.00	0.051241	0.061742	0.072037	0.089047	0.101918	0.109355	0.113666	0.115399	0.114021	0.111042	0.114351	0.136398	0.180298	0.210182	0.203739	0.182938	0.161091	0.135448	0.110220	0.095326	0.100936	0.138494	0.184253	0.212218	0.226334	0.233681	0.239938	0.250613	0.263832	0.270690	0.268946	0.261781	0.250164	0.244396	0.252628	0.280115
285	B9	37.50	35.99	42.99	0.00	0.138199	0.161567	0.192839	0.247630	0.289961	0.306098	0.309313	0.307107	0.303316	0.297518	0.297800	0.321344	0.370050	0.407634	0.405828	0.384963	0.360898	0.330606	0.298862	0.278784	0.284494	0.327673	0.379656	0.413533	0.432522	0.443770	0.452964	0.464415	0.477453	0.484390	0.483903	0.479507	0.470983	0.466683	0.473447	0.497161
286	B10	12.50	12.33	15.33	0.00	0.291373	0.338718	0.407023	0.534895	0.647603	0.687330	0.680123	0.663437	0.651352	0.642065	0.635193	0.645841	0.672116	0.691951	0.688199	0.672396	0.655675	0.634328	0.611362	0.598066	0.601509	0.628511	0.659174	0.680991	0.697216	0.709779	0.720988	0.731848	0.742278	0.748961	0.752403	0.753858	0.753174	0.754128	0.757923	0.770669
287	B11	75.00	75.15	84.18	0.00	0.026211	0.035633	0.044677	0.053475	0.060101	0.064199	0.067451	0.069124	0.068194	0.066305	0.069376	0.087238	0.121419	0.141632	0.133028	0.115428	0.098113	0.078566	0.060031	0.049953	0.054637	0.083512	0.120056	0.142072	0.152633	0.157853	0.162878	0.172496	0.185310	0.191771	0.189475	0.182420	0.170890	0.165184	0.172694	0.200477
288	B12	87.50	90.96	100.00	0.00	0.019123	0.022788	0.025630	0.031244	0.034899	0.036833	0.038780	0.040665	0.040013	0.038652	0.041492	0.055209	0.078934	0.089853	0.079565	0.065810	0.054221	0.041387	0.029825	0.024604	0.028658	0.049494	0.074868	0.088193	0.094311	0.097309	0.100947	0.109656	0.121411	0.127527	0.125313	0.118487	0.107411	0.101959	0.109288	0.135657
265	C1	0.00	90.00	90.00	0.00	0.041080	0.039654	0.037436	0.039242	0.040937	0.041336	0.041568	0.040371	0.038840	0.036456	0.037739	0.048981	0.071470	0.085737	0.083136	0.078546	0.076163	0.071290	0.064048	0.061598	0.089710	0.217961	0.432809	0.616909	0.725006	0.779484	0.807108	0.823114	0.833984	0.841493	0.848603	0.854853	0.861268	0.866237	0.868304	0.871674
266	C2	90.00	0.00	90.00	0.00	0.030700	0.040317	0.050295	0.062974	0.069663	0.072120	0.075551	0.080692	0.087176	0.093797	0.113687	0.176866	0.311356	0.439050	0.454380	0.396601	0.320905	0.242451	0.173113	0.127717	0.104441	0.092567	0.084061	0.079229	0.078493	0.079476	0.082404	0.090465	0.101708	0.107422	0.104999	0.097932	0.087439	0.082297	0.089928	0.115959
267	C3	90.00	90.00	0.00	0.00	0.051637	0.082767	0.119347	0.171339	0.218053	0.249355	0.270698	0.270593	0.249125	0.218918	0.186851	0.159483	0.132546	0.104881	0.080452	0.063252	0.050356	0.036709	0.025394	0.021142	0.025707	0.044610	0.067179	0.078716	0.084080	0.087039	0.090581	0.099259	0.111160	0.117064	0.115095	0.108173	0.097109	0.091607	0.099042	0.125626
268	C4	0.00	0.00	0.00	95.00	0.023081	0.023002	0.024509	0.028467	0.030571	0.030539	0.031368	0.031297	0.030519	0.030857	0.031182	0.031341	0.031434	0.031080	0.030675	0.030288	0.030294	0.030121	0.029924	0.030103	0.030227	0.030375	0.030910	0.031658	0.032398	0.033347	0.034354	0.035633	0.037156	0.038470	0.039502	0.040777	0.042285	0.044101	0.045910	0.048066
269	C5	95.00	92.47	92.47	0.00	0.020125	0.027456	0.031769	0.038824	0.042625	0.044697	0.047955	0.049238	0.048238	0.046158	0.047270	0.059753	0.081287	0.088850	0.076821	0.062462	0.050696	0.037463	0.026045	0.021135	0.024039	0.039222	0.055174	0.061717	0.064350	0.066131	0.069420	0.077147	0.088302	0.094180	0.091971	0.085089	0.074616	0.068989	0.076695	0.102683
270	C6	50.00	40.00	58.00	0.00	0.090529	0.103998	0.125546	0.158454	0.184014	0.195450	0.199181	0.199866	0.199125	0.196976	0.201813	0.232534	0.293384	0.342404	0.343300	0.320335	0.293344	0.260308	0.226638	0.205083	0.208109	0.244936	0.288479	0.315459	0.330044	0.338428	0.346332	0.357600	0.371076	0.377872	0.376949	0.370404	0.359585	0.354175	0.361562	0.388337
271	C7	25.00	18.88	28.88	0.00	0.210996	0.245694	0.298119	0.388277	0.462122	0.489776	0.488953	0.482115	0.475685	0.469178	0.468285	0.489956	0.536335	0.574834	0.575578	0.555471	0.532213	0.502826	0.471724	0.452279	0.454419	0.485858	0.522080	0.546209	0.561847	0.572785	0.582322	0.593559	0.604925	0.611439	0.612755	0.610675	0.605400	0.603474	0.608577	0.627283
