CGATS.17

ORIGINATOR	"i1Profiler - X-Rite, Inc."
INSTRUMENTATION	"i1iO 2 ; Serial number 10061"
DESCRIPTOR	"IT8.7-4 CMYK random dual scan (i1iO2) r2"
MEASUREMENT_SOURCE	"MeasurementCondition=M0	Filter=no"
ILLUMINATION_NAME	"D50"
OBSERVER_ANGLE	"2"
FILTER	"no"
WEIGHTING_FUNCTION	"ILLUMINANT,	D50"
WEIGHTING_FUNCTION	"OBSERVER,	2 degree"
KEYWORD	"DEVCALSTD"
DEVCALSTD	"XRGA"
CREATED		"2015-03-22T07:23:45"

NUMBER_OF_FIELDS	48
BEGIN_DATA_FORMAT
SAMPLE_ID	SAMPLE_NAME	CMYK_C	CMYK_M	CMYK_Y	CMYK_K	XYZ_X	XYZ_Y	XYZ_Z	LAB_L	LAB_A	LAB_B	SPECTRAL_NM380	SPECTRAL_NM390	SPECTRAL_NM400	SPECTRAL_NM410	SPECTRAL_NM420	SPECTRAL_NM430	SPECTRAL_NM440	SPECTRAL_NM450	SPECTRAL_NM460	SPECTRAL_NM470	SPECTRAL_NM480	SPECTRAL_NM490	SPECTRAL_NM500	SPECTRAL_NM510	SPECTRAL_NM520	SPECTRAL_NM530	SPECTRAL_NM540	SPECTRAL_NM550	SPECTRAL_NM560	SPECTRAL_NM570	SPECTRAL_NM580	SPECTRAL_NM590	SPECTRAL_NM600	SPECTRAL_NM610	SPECTRAL_NM620	SPECTRAL_NM630	SPECTRAL_NM640	SPECTRAL_NM650	SPECTRAL_NM660	SPECTRAL_NM670	SPECTRAL_NM680	SPECTRAL_NM690	SPECTRAL_NM700	SPECTRAL_NM710	SPECTRAL_NM720	SPECTRAL_NM730	
END_DATA_FORMAT

NUMBER_OF_SETS	1617
BEGIN_DATA
1	A1	   85.00	   55.00	   85.00	    0.00	 0.21401	 0.26354	 0.23306	   58.37	  -17.84	   -2.99	    0.0775	    0.0913	    0.1238	    0.1877	    0.2433	    0.2649	    0.2751	    0.2774	    0.2769	    0.2802	    0.2936	    0.3260	    0.3682	    0.3883	    0.3725	    0.3414	    0.3116	    0.2773	    0.2375	    0.2125	    0.2042	    0.2017	    0.1959	    0.1906	    0.1898	    0.1911	    0.1958	    0.2065	    0.2198	    0.2262	    0.2226	    0.2132	    0.2032	    0.1976	    0.2039	    0.2170	
2	A2	  100.00	   40.00	  100.00	    0.00	 0.15570	 0.23989	 0.17095	   56.08	  -38.40	    5.93	    0.0659	    0.0747	    0.0964	    0.1321	    0.1592	    0.1705	    0.1802	    0.1859	    0.1897	    0.1992	    0.2275	    0.2931	    0.3897	    0.4522	    0.4404	    0.3870	    0.3236	    0.2589	    0.2000	    0.1631	    0.1445	    0.1350	    0.1267	    0.1209	    0.1197	    0.1202	    0.1235	    0.1315	    0.1418	    0.1468	    0.1437	    0.1356	    0.1272	    0.1230	    0.1283	    0.1391	
3	A3	   55.00	   70.00	  100.00	    0.00	 0.34566	 0.30343	 0.13821	   61.95	   19.20	   24.15	    0.0744	    0.0816	    0.0952	    0.1256	    0.1488	    0.1546	    0.1569	    0.1560	    0.1555	    0.1593	    0.1752	    0.2131	    0.2675	    0.2940	    0.2700	    0.2382	    0.2312	    0.2301	    0.2196	    0.2354	    0.3012	    0.3895	    0.4506	    0.4797	    0.4951	    0.5051	    0.5147	    0.5262	    0.5375	    0.5430	    0.5408	    0.5351	    0.5307	    0.5280	    0.5333	    0.5413	
4	A4	   40.00	   20.00	   70.00	   40.00	 0.33858	 0.36926	 0.23721	   67.22	   -5.97	   11.49	    0.0777	    0.0875	    0.1193	    0.1859	    0.2481	    0.2704	    0.2780	    0.2782	    0.2776	    0.2808	    0.2967	    0.3371	    0.3950	    0.4314	    0.4247	    0.4016	    0.3863	    0.3691	    0.3432	    0.3335	    0.3446	    0.3593	    0.3635	    0.3635	    0.3658	    0.3699	    0.3773	    0.3896	    0.4034	    0.4100	    0.4066	    0.3987	    0.3906	    0.3862	    0.3931	    0.4046	
5	A5	  100.00	  100.00	   40.00	   60.00	 0.09954	 0.10208	 0.12881	   38.21	    0.87	  -14.21	    0.0612	    0.0740	    0.0962	    0.1298	    0.1529	    0.1601	    0.1633	    0.1620	    0.1590	    0.1558	    0.1524	    0.1491	    0.1451	    0.1363	    0.1218	    0.1083	    0.1009	    0.0935	    0.0841	    0.0812	    0.0863	    0.0931	    0.0959	    0.0962	    0.0971	    0.0983	    0.1005	    0.1046	    0.1096	    0.1119	    0.1102	    0.1069	    0.1036	    0.1027	    0.1061	    0.1114	
6	A6	    0.00	   40.00	   20.00	   60.00	 0.31739	 0.27345	 0.26121	   59.29	   20.70	   -6.49	    0.0963	    0.1135	    0.1558	    0.2371	    0.3091	    0.3325	    0.3357	    0.3285	    0.3188	    0.3114	    0.3053	    0.3043	    0.3052	    0.2877	    0.2475	    0.2132	    0.2055	    0.2035	    0.1930	    0.2060	    0.2617	    0.3336	    0.3794	    0.3995	    0.4105	    0.4178	    0.4262	    0.4371	    0.4488	    0.4545	    0.4521	    0.4458	    0.4401	    0.4377	    0.4439	    0.4525	
