"File created by Curve"
LGOROWLENGTH 12
NUMBER_OF_FIELDS 	45
BEGIN_DATA_FORMAT
SampleID	SAMPLE_NAME	CMYK_C	CMYK_M	CMYK_Y	CMYK_K	LAB_L	LAB_A	LAB_B	nm380	nm390	nm400	nm410	nm420	nm430	nm440	nm450	nm460	nm470	nm480	nm490	nm500	nm510	nm520	nm530	nm540	nm550	nm560	nm570	nm580	nm590	nm600	nm610	nm620	nm630	nm640	nm650	nm660	nm670	nm680	nm690	nm700	nm710	nm720	nm730
END_DATA_FORMAT
NUMBER_OF_SETS 300
BEGIN_DATA
289	"A1"	0.00	100.00	100.00	0.00	49.15	70.77	46.90	0.046954	0.040454	0.036565	0.034722	0.033769	0.033747	0.033155	0.033292	0.033102	0.0321	0.034635	0.044451	0.054635	0.051946	0.041749	0.035829	0.032615	0.027301	0.021707	0.023004	0.061498	0.212636	0.446966	0.642394	0.756061	0.815062	0.847634	0.867706	0.88008	0.886781	0.889792	0.890212	0.891797	0.89447	0.898178	0.905676
290	"A2"	100.00	0.00	100.00	0.00	49.81	-64.97	21.62	0.034208	0.044778	0.051108	0.057199	0.057966	0.057595	0.058734	0.064852	0.073413	0.083741	0.111428	0.187272	0.325246	0.433176	0.432955	0.37157	0.293564	0.211615	0.139042	0.092112	0.06821	0.055645	0.046506	0.041566	0.040611	0.041515	0.04494	0.053668	0.065074	0.070245	0.066655	0.058748	0.049237	0.045795	0.0539	0.075406
291	"A3"	100.00	100.00	0.00	0.00	23.92	22.61	-46.59	0.048173	0.074553	0.107284	0.148891	0.186895	0.212939	0.232606	0.231673	0.210286	0.179398	0.148697	0.121419	0.095533	0.07005	0.049972	0.037748	0.029434	0.020245	0.013604	0.012986	0.019191	0.032684	0.04206	0.044063	0.04485	0.046076	0.049552	0.058314	0.069764	0.075058	0.071635	0.063396	0.053027	0.04923	0.057444	0.078894
292	"A4"	0.00	0.00	0.00	100.00	20.11	0.33	2.60	0.018436	0.01863	0.018934	0.022156	0.024679	0.024822	0.025282	0.025627	0.026619	0.027696	0.028522	0.02894	0.02965	0.029861	0.029965	0.029903	0.030326	0.030085	0.029749	0.029478	0.029318	0.029718	0.030013	0.030639	0.031503	0.032762	0.0344	0.03613	0.038128	0.03979	0.040764	0.041581	0.042121	0.043292	0.045498	0.048378
293	"A5"	100.00	100.00	100.00	0.00	23.18	0.51	-3.24	0.027955	0.031454	0.034788	0.037166	0.039408	0.039563	0.041648	0.043208	0.04327	0.04203	0.044947	0.056762	0.0704	0.068725	0.055974	0.045674	0.03699	0.027187	0.019293	0.017294	0.022555	0.035427	0.044217	0.045477	0.045918	0.04696	0.050252	0.058897	0.070215	0.075541	0.071975	0.063514	0.053636	0.049456	0.05745	0.07847
294	"A6"	50.00	58.00	58.00	0.00	46.59	11.94	8.26	0.066608	0.075043	0.084012	0.098237	0.109792	0.114457	0.117343	0.119842	0.120255	0.118642	0.124522	0.147846	0.181185	0.193225	0.179566	0.1617	0.143648	0.120217	0.096462	0.085983	0.10284	0.154737	0.209493	0.241901	0.258266	0.267674	0.276965	0.290873	0.30687	0.313341	0.308816	0.298663	0.285617	0.279502	0.289988	0.316086
295	"A7"	25.00	28.88	28.88	0.00	70.82	6.11	2.49	0.194459	0.220249	0.257641	0.322108	0.376239	0.397682	0.400229	0.39874	0.396587	0.391705	0.393792	0.41561	0.45178	0.46946	0.457086	0.435532	0.413031	0.382777	0.349998	0.3336	0.35187	0.406453	0.462026	0.49909	0.521927	0.537824	0.551686	0.567284	0.581744	0.587968	0.585813	0.577732	0.568125	0.564204	0.572613	0.592433
296	"A8"	62.50	70.29	70.29	0.00	38.22	12.10	6.06	0.047527	0.052437	0.058162	0.067973	0.073278	0.075465	0.078262	0.080169	0.080878	0.07988	0.084751	0.103999	0.130247	0.135939	0.121112	0.105437	0.090315	0.071391	0.053448	0.046392	0.059283	0.099415	0.141856	0.166194	0.177991	0.184697	0.191911	0.204838	0.219926	0.226184	0.221417	0.211274	0.198175	0.192079	0.202108	0.227523
297	"A9"	37.50	42.99	42.99	0.00	59.22	7.99	5.24	0.123882	0.137188	0.158186	0.191293	0.220073	0.231836	0.236224	0.238243	0.237705	0.235361	0.240372	0.265892	0.30441	0.32151	0.307869	0.28675	0.264097	0.234529	0.203027	0.188105	0.207528	0.264627	0.322521	0.358294	0.377586	0.389634	0.401285	0.416341	0.431636	0.43805	0.433787	0.424854	0.413228	0.408168	0.418345	0.442079
298	"A10"	12.50	15.33	15.33	0.00	81.65	4.59	0.44	0.28781	0.320875	0.373072	0.476472	0.57155	0.604362	0.602492	0.594341	0.589297	0.583825	0.583576	0.59941	0.625993	0.638279	0.626659	0.608461	0.590123	0.565345	0.537392	0.525205	0.540702	0.583931	0.626574	0.658268	0.682004	0.701297	0.718217	0.733757	0.745925	0.751657	0.750733	0.746557	0.742588	0.741212	0.747881	0.762469
299	"A11"	75.00	84.18	84.18	0.00	31.25	12.78	4.40	0.031352	0.038587	0.042571	0.046472	0.050061	0.05109	0.052898	0.054363	0.055441	0.054511	0.058743	0.074151	0.093298	0.094542	0.079812	0.066947	0.055907	0.042554	0.030416	0.026375	0.036607	0.067276	0.099172	0.116434	0.124513	0.129255	0.135084	0.146617	0.160509	0.166702	0.162395	0.152554	0.140182	0.134301	0.143693	0.16797
300	"A12"	87.50	100.00	100.00	0.00	25.41	10.04	0.99	0.027988	0.032295	0.034727	0.035626	0.038054	0.039463	0.040616	0.041946	0.042593	0.041591	0.044704	0.05622	0.069781	0.067796	0.055396	0.044994	0.036885	0.027724	0.020404	0.018609	0.025574	0.045657	0.065296	0.074151	0.077864	0.080515	0.084697	0.094769	0.107909	0.113687	0.10958	0.100414	0.08908	0.084453	0.093008	0.115791
277	"B1"	0.00	95.00	95.00	0.00	50.14	69.13	46.25	0.053258	0.045346	0.039957	0.038625	0.037488	0.036694	0.036383	0.036593	0.036648	0.03576	0.038834	0.050375	0.062995	0.060793	0.05029	0.044162	0.040779	0.034327	0.027161	0.028408	0.071547	0.228319	0.461729	0.652357	0.761974	0.818921	0.85068	0.870477	0.882695	0.889244	0.892261	0.893041	0.894831	0.896834	0.900595	0.907923
278	"B2"	95.00	0.00	95.00	0.00	51.67	-61.57	22.98	0.038516	0.048591	0.056039	0.061976	0.0623	0.061988	0.063878	0.069857	0.078495	0.089454	0.11839	0.195693	0.336047	0.446644	0.449138	0.389747	0.313297	0.23147	0.157817	0.109243	0.083927	0.07031	0.060106	0.054503	0.053558	0.054591	0.058615	0.068334	0.080802	0.086299	0.082505	0.07409	0.063691	0.05942	0.068389	0.091676
279	"B3"	95.00	95.00	0.00	0.00	25.62	23.55	-45.98	0.057419	0.081123	0.114565	0.158821	0.197941	0.226001	0.24603	0.2446	0.222615	0.191007	0.159357	0.131466	0.103996	0.077097	0.055486	0.042634	0.033424	0.022999	0.015064	0.013845	0.020955	0.037693	0.050486	0.054371	0.056356	0.058166	0.062258	0.072091	0.084647	0.090674	0.086693	0.077881	0.066856	0.06232	0.071288	0.094614
280	"B4"	0.00	0.00	0.00	98.00	21.77	0.42	2.65	0.019668	0.021398	0.022061	0.025899	0.028252	0.02793	0.029161	0.030022	0.030401	0.031686	0.032652	0.033176	0.033574	0.033972	0.034314	0.034243	0.034598	0.034459	0.033979	0.033741	0.033621	0.034113	0.034472	0.035194	0.036158	0.037595	0.039292	0.041257	0.043298	0.045046	0.045999	0.046934	0.047474	0.048914	0.051101	0.054208
281	"B5"	98.00	96.94	96.94	0.00	23.86	1.05	-2.98	0.02696	0.033409	0.035889	0.038491	0.040162	0.041218	0.042877	0.04468	0.045015	0.043725	0.047016	0.059415	0.074055	0.072147	0.058671	0.047817	0.038708	0.02836	0.019702	0.017326	0.023302	0.037591	0.047283	0.049089	0.049762	0.051014	0.054646	0.063807	0.07589	0.081288	0.077682	0.069116	0.058453	0.054002	0.062441	0.084116
282	"B6"	50.00	49.00	58.00	0.00	51.60	2.29	11.43	0.075975	0.082633	0.093997	0.111527	0.124928	0.129942	0.133051	0.136598	0.138309	0.13963	0.149756	0.182483	0.23259	0.258345	0.247339	0.225883	0.202665	0.172325	0.140915	0.125296	0.139603	0.184427	0.227462	0.251806	0.264613	0.272623	0.281449	0.295693	0.311629	0.318462	0.313993	0.303652	0.2903	0.283729	0.294461	0.321003
283	"B7"	25.00	23.88	28.88	0.00	72.89	2.87	3.16	0.199074	0.22831	0.269309	0.337414	0.395225	0.417856	0.421314	0.420984	0.419655	0.415933	0.42058	0.446874	0.488882	0.511477	0.500474	0.478354	0.454039	0.421819	0.386629	0.368659	0.383558	0.430136	0.476088	0.506967	0.526814	0.541671	0.555261	0.570578	0.585169	0.591365	0.588791	0.581133	0.571844	0.567298	0.575874	0.596475
284	"B8"	62.50	61.28	70.29	0.00	41.43	5.64	7.47	0.053315	0.060468	0.065109	0.076604	0.082076	0.084969	0.087927	0.090249	0.092047	0.091243	0.098472	0.123221	0.158317	0.170899	0.156402	0.137476	0.118348	0.095034	0.072114	0.061696	0.073437	0.111718	0.150127	0.171461	0.182174	0.188217	0.195231	0.207965	0.22324	0.229942	0.225364	0.2149	0.201508	0.195326	0.205324	0.23089
285	"B9"	37.50	35.99	42.99	0.00	62.41	2.88	6.51	0.130447	0.147976	0.170514	0.209098	0.240395	0.253153	0.257959	0.260777	0.261302	0.260588	0.268734	0.299658	0.34725	0.372731	0.361459	0.338736	0.313548	0.280485	0.244918	0.226627	0.24181	0.291223	0.33963	0.369038	0.385765	0.39688	0.408346	0.42313	0.438283	0.444497	0.440422	0.43133	0.420024	0.414906	0.424872	0.449731
286	"B10"	12.50	12.33	15.33	0.00	83.02	2.68	0.90	0.292952	0.329138	0.385652	0.493434	0.590039	0.624178	0.62108	0.612706	0.60823	0.604324	0.605659	0.623732	0.653995	0.669958	0.660222	0.641777	0.622981	0.597633	0.569012	0.556063	0.568345	0.604259	0.638946	0.665939	0.687476	0.705822	0.722274	0.737511	0.749674	0.755592	0.755159	0.750442	0.74564	0.743982	0.749675	0.763329
287	"B11"	75.00	75.15	84.18	0.00	34.04	7.14	6.73	0.03503	0.039922	0.044591	0.048979	0.053431	0.054448	0.056154	0.058258	0.059664	0.05987	0.065945	0.085325	0.111884	0.118322	0.104054	0.089098	0.074832	0.057509	0.041068	0.034557	0.044773	0.075627	0.105808	0.121523	0.129032	0.133661	0.139553	0.151358	0.165933	0.172109	0.167688	0.157256	0.144775	0.13884	0.148872	0.173691
288	"B12"	87.50	90.96	100.00	0.00	26.93	7.37	1.51	0.027346	0.02995	0.032742	0.036718	0.041416	0.042192	0.043121	0.045194	0.046023	0.045765	0.049844	0.063513	0.080134	0.079127	0.065477	0.053741	0.044201	0.032971	0.023343	0.020403	0.028217	0.049396	0.068625	0.077084	0.080665	0.083213	0.087722	0.098082	0.111432	0.117014	0.112809	0.103629	0.09199	0.087042	0.095982	0.119441
265	"C1"	0.00	90.00	90.00	0.00	51.81	65.86	44.94	0.05581	0.050229	0.044869	0.044311	0.04415	0.043703	0.043349	0.04373	0.043619	0.042765	0.046335	0.059808	0.076079	0.077179	0.066638	0.0604	0.057155	0.049411	0.040645	0.04191	0.08963	0.250284	0.479845	0.663121	0.767917	0.822923	0.853807	0.873149	0.885281	0.891656	0.894725	0.895358	0.89747	0.899771	0.902857	0.909281
266	"C2"	90.00	0.00	90.00	0.00	53.60	-56.68	23.32	0.043847	0.053325	0.060798	0.069382	0.071874	0.071713	0.073486	0.079586	0.089104	0.09981	0.128964	0.206483	0.346716	0.458084	0.462461	0.405491	0.331241	0.251122	0.177834	0.129172	0.103534	0.089584	0.078947	0.072847	0.072022	0.073455	0.077697	0.087888	0.101035	0.106978	0.102813	0.093614	0.082885	0.078547	0.087811	0.112527
267	"C3"	90.00	90.00	0.00	0.00	27.79	23.74	-44.99	0.065185	0.089879	0.124781	0.170938	0.213138	0.241202	0.261347	0.259943	0.237746	0.205869	0.173513	0.144494	0.116366	0.087769	0.06454	0.050169	0.039849	0.027665	0.017824	0.015724	0.023758	0.043846	0.060836	0.067475	0.070601	0.073018	0.077667	0.088116	0.101414	0.107541	0.10328	0.094246	0.082526	0.077535	0.087087	0.111241
268	"C4"	0.00	0.00	0.00	95.00	23.58	0.49	2.49	0.025821	0.025415	0.025283	0.029641	0.032196	0.033121	0.034224	0.03517	0.035766	0.036791	0.037627	0.038129	0.038773	0.039342	0.039449	0.039443	0.039694	0.039334	0.039119	0.038899	0.038988	0.039461	0.039681	0.040502	0.041529	0.043014	0.044988	0.046846	0.04917	0.05106	0.052126	0.052857	0.053526	0.055022	0.057384	0.060606
269	"C5"	95.00	92.47	92.47	0.00	25.27	1.37	-2.30	0.029864	0.034704	0.037927	0.041033	0.043743	0.043834	0.045846	0.047704	0.047925	0.047136	0.050903	0.064603	0.08086	0.079782	0.065126	0.053375	0.043358	0.031506	0.021504	0.018467	0.024831	0.041087	0.052907	0.055866	0.057313	0.058774	0.062741	0.072571	0.085535	0.091197	0.087186	0.078294	0.067145	0.062436	0.071044	0.093539
270	"C6"	50.00	40.00	58.00	0.00	55.44	-4.93	13.48	0.084516	0.090788	0.105171	0.125518	0.138912	0.144652	0.148076	0.151849	0.155547	0.158987	0.172777	0.213097	0.276958	0.31544	0.308056	0.283538	0.255262	0.218948	0.181632	0.161078	0.170045	0.206162	0.239751	0.258562	0.269048	0.276251	0.284883	0.29908	0.314765	0.321025	0.316651	0.306281	0.293571	0.287198	0.298225	0.324655
271	"C7"	25.00	18.88	28.88	0.00	74.85	-0.31	3.80	0.209765	0.237562	0.281916	0.352589	0.416204	0.439061	0.442445	0.441638	0.441833	0.440055	0.446538	0.476275	0.524487	0.553553	0.54457	0.521248	0.4952	0.46148	0.424564	0.404518	0.414643	0.452283	0.488086	0.512545	0.529906	0.543822	0.556816	0.57206	0.586502	0.593	0.590379	0.582386	0.572888	0.568677	0.576999	0.597094
272	"C8"	62.50	52.26	70.29	0.00	45.49	-2.50	9.67	0.057262	0.064424	0.070782	0.085229	0.093214	0.096425	0.099302	0.102777	0.105291	0.106478	0.116975	0.149378	0.197713	0.220739	0.207302	0.184578	0.159781	0.129667	0.099801	0.084627	0.09436	0.128671	0.160499	0.177334	0.18585	0.1912	0.198176	0.210913	0.226276	0.232718	0.228056	0.217569	0.204199	0.197768	0.208094	0.233937
273	"C9"	37.50	28.99	42.99	0.00	65.39	-2.13	7.73	0.139963	0.159822	0.183647	0.225351	0.260451	0.274149	0.279137	0.282194	0.284641	0.285824	0.296949	0.334159	0.392184	0.4263	0.417283	0.393014	0.364463	0.327619	0.288423	0.266814	0.277264	0.317021	0.354491	0.376868	0.390722	0.400905	0.412009	0.426689	0.441991	0.448323	0.443822	0.434651	0.42366	0.418803	0.429154	0.453533
