CGATS.17

ORIGINATOR	"Idealliance SCCA Calculator"
DESCRIPTOR	"GRACoL2013 CRPC6 IT8.7-5 (TC1617), Reference Data"
MEASUREMENT_SOURCE	"MeasurementCondition=M1 Filter=D50"
ILLUMINATION_NAME	"D50"
OBSERVER_ANGLE	"2"
FILTER	"D50"
WEIGHTING_FUNCTION	"ILLUMINANT,	D50"
WEIGHTING_FUNCTION	"OBSERVER,	2 degree"
KEYWORD	"DEVCALSTD"
DEVCALSTD	"Reference"
CREATED	"4/13/20 11:00 AM"

LGOROWLENGTH	49

NUMBER_OF_FIELDS	11
BEGIN_DATA_FORMAT
SAMPLE_ID	CMYK_C	CMYK_M	CMYK_Y	CMYK_K	XYZ_X	XYZ_Y	XYZ_Z	LAB_L	LAB_A	LAB_B
END_DATA_FORMAT

NUMBER_OF_SETS	1617
BEGIN_DATA
73	100	0	0	0	15.754	23.912	54.470	56.00	-37.00	-50.00
1276	100	40	40	100	0.936	1.117	1.187	9.93	-5.12	-3.93
1032	40	20	70	40	14.412	16.536	7.057	47.67	-9.09	21.66
1202	40	70	0	80	3.873	3.131	3.683	20.56	13.65	-7.91
1376	20	12	12	10	45.812	47.786	43.202	74.69	-0.75	-4.83
906	100	20	70	20	6.521	11.715	9.392	40.76	-40.94	0.94
62	70	85	0	0	12.208	8.961	20.079	35.91	27.32	-35.36
234	85	100	20	0	7.409	5.536	13.057	28.21	22.01	-31.95
17	10	85	0	0	32.334	18.943	19.969	50.62	60.22	-9.77
113	30	40	10	0	36.922	33.946	36.884	64.92	14.29	-13.40
434	30	10	55	0	43.664	49.255	23.391	75.61	-10.91	26.57
1057	40	20	100	40	13.674	15.966	3.569	46.93	-10.51	38.30
462	70	20	55	0	18.894	25.553	19.465	57.61	-26.87	3.34
998	0	40	40	40	23.274	20.412	11.085	52.30	16.92	15.33
245	0	10	30	0	71.895	72.003	41.580	87.97	5.25	20.11
573	0	55	85	0	43.955	34.224	6.437	65.14	35.07	54.44
29	30	10	0	0	51.313	54.444	62.340	78.72	-3.09	-18.84
14	10	40	0	0	50.543	43.555	44.831	71.93	24.14	-11.59
1284	100	0	100	100	0.876	1.306	0.846	11.32	-13.43	3.66
410	0	40	55	0	52.621	45.302	17.463	73.09	24.59	34.42
1502	0	40	10	10	46.640	39.623	32.791	69.20	25.25	-0.14
1375	40	27	27	10	28.373	29.845	27.183	61.52	-1.57	-4.47
296	55	85	30	0	15.028	10.642	13.397	38.97	32.14	-14.33
818	20	70	20	20	21.191	15.261	13.917	45.99	34.54	-3.62
922	20	0	100	20	34.736	40.127	5.453	69.56	-13.02	66.66
1614	0	0	100	10	56.765	60.668	6.116	82.20	-4.22	85.30
1313	0	75	0	0	40.372	25.459	24.333	57.52	57.16	-6.36
919	10	40	100	20	28.461	25.814	3.904	57.86	14.55	55.01
1562	40	0	10	10	38.580	44.709	47.845	72.70	-13.89	-13.84
1422	3	0	3	3	76.380	79.389	68.595	91.41	-0.34	-2.86
1003	20	40	40	40	17.311	16.104	10.584	47.11	10.04	7.95
702	55	100	100	0	11.942	8.027	3.107	34.04	33.54	19.24
357	30	55	40	0	29.411	24.984	18.431	57.06	21.66	4.62
395	85	85	40	0	7.647	6.780	11.480	31.30	10.94	-22.08
169	0	70	20	0	41.741	28.024	20.433	59.91	51.04	5.29
95	10	40	10	0	49.034	42.494	38.377	71.21	23.19	-4.59
524	40	10	70	0	35.650	42.582	15.653	71.27	-17.30	35.55
1131	40	0	40	60	11.037	13.306	9.392	43.22	-12.49	5.18
1558	20	70	20	10	25.616	18.268	16.684	49.82	37.72	-3.90
