P2P	25	Dithered		
LGOROWLENGTH	12			
NUMBER_OF_FIELDS	5			
BEGIN_DATA_FORMAT				
Sample_Name	CMYK_C	CMYK_M	CMYK_Y	CMYK_K
END_DATA_FORMAT				
NUMBER_OF_SETS	300			
BEGIN_DATA				
A1	100	100	100	0
B1	0	0	0	0
C1	100	100	100	100
D1	0	0	0	0
E1	0	0	0	0
F1	49.8	30.59	30.59	0
G1	25.1	14.51	14.51	0
H1	62.35	38.04	38.04	0
I1	37.65	22.75	22.75	0
J1	12.55	6.27	6.27	0
K1	74.9	44.71	44.71	0
L1	87.45	59.61	59.61	0
A2	4.71	0	0	0
B2	0	4.71	0	0
C2	0	0	4.71	0
D2	0	0	0	1.96
E2	1.96	1.18	1.18	0
F2	49.8	35.29	30.59	0
G2	25.1	16.47	14.51	0
H2	62.35	45.1	38.04	0
I2	37.65	26.27	22.75	0
J2	12.55	7.84	6.27	0
K2	74.9	54.9	44.71	0
L2	87.45	70.98	59.61	0
A3	10.2	0	0	0
B3	0	10.2	0	0
C3	0	0	10.2	0
D3	0	0	0	3.92
E3	3.92	2.75	2.75	0
F3	49.8	40	30.59	0
G3	25.1	18.82	14.51	0
H3	62.35	52.55	38.04	0
I3	37.65	29.41	22.75	0
J3	12.55	9.02	6.27	0
K3	74.9	65.88	44.71	0
L3	87.45	81.18	59.61	0
A4	20	0	0	0
B4	0	20	0	0
C4	0	0	20	0
D4	0	0	0	5.88
E4	5.88	4.31	4.31	0
F4	49.8	45.49	30.59	0
G4	25.1	21.18	14.51	0
H4	62.35	60.39	38.04	0
I4	37.65	32.55	22.75	0
J4	12.55	10.59	6.27	0
K4	74.9	78.04	44.71	0
L4	87.45	90.98	59.61	0
A5	30.2	0	0	0
B5	0	30.2	0	0
C5	0	0	30.2	0
D5	0	0	0	7.84
E5	7.84	5.49	5.49	0
F5	49.8	50.98	30.59	0
G5	25.1	23.53	14.51	0
H5	62.35	68.63	38.04	0
I5	37.65	36.08	22.75	0
J5	12.55	12.16	6.27	0
K5	74.9	92.94	44.71	0
L5	87.45	100	59.61	0
A6	40	0	0	0
B6	0	40	0	0
C6	0	0	40	0
D6	0	0	0	10.2
E6	10.2	7.45	7.45	0
F6	49.8	30.59	35.29	0
G6	25.1	14.51	16.47	0
H6	62.35	38.04	45.1	0
I6	37.65	22.75	26.27	0
J6	12.55	6.27	7.84	0
K6	74.9	44.71	54.9	0
L6	87.45	59.61	70.98	0
A7	49.8	0	0	0
B7	0	49.8	0	0
C7	0	0	49.8	0
D7	0	0	0	14.9
E7	14.9	10.98	10.98	0
F7	49.8	35.29	35.29	0
G7	25.1	16.47	16.47	0
H7	62.35	45.1	45.1	0
I7	37.65	26.27	26.27	0
J7	12.55	7.84	7.84	0
K7	74.9	54.9	54.9	0
L7	87.45	70.98	70.98	0
A8	60	0	0	0
B8	0	60	0	0
C8	0	0	60	0
D8	0	0	0	20
E8	20	14.9	14.9	0
F8	49.8	40	35.29	0
G8	25.1	18.82	16.47	0
H8	62.35	52.55	45.1	0
I8	37.65	29.41	26.27	0
J8	12.55	9.02	7.84	0
K8	74.9	65.88	54.9	0
L8	87.45	81.18	70.98	0
A9	69.8	0	0	0
B9	0	69.8	0	0
C9	0	0	69.8	0
D9	0	0	0	25.1
E9	25.1	18.82	18.82	0
F9	49.8	45.49	35.29	0
G9	25.1	21.18	16.47	0
H9	62.35	60.39	45.1	0
I9	37.65	32.55	26.27	0
J9	12.55	10.59	7.84	0
K9	74.9	78.04	54.9	0
L9	87.45	90.98	70.98	0
A10	80	0	0	0
B10	0	80	0	0
C10	0	0	80	0
D10	0	0	0	30.2
E10	30.2	23.14	23.14	0
F10	49.8	50.98	35.29	0
G10	25.1	23.53	16.47	0
H10	62.35	68.63	45.1	0
I10	37.65	36.08	26.27	0
J10	12.55	12.16	7.84	0
K10	74.9	92.94	54.9	0
L10	87.45	100	70.98	0
A11	89.8	0	0	0
B11	0	89.8	0	0
C11	0	0	89.8	0
D11	0	0	0	34.9
E11	34.9	27.06	27.06	0
F11	49.8	30.59	40	0
G11	25.1	14.51	18.82	0
H11	62.35	38.04	52.55	0
I11	37.65	22.75	29.41	0
J11	12.55	6.27	9.02	0
K11	74.9	44.71	65.88	0
L11	87.45	59.61	81.18	0
A12	94.9	0	0	0
B12	0	94.9	0	0
C12	0	0	94.9	0
D12	0	0	0	40
E12	40	31.37	31.37	0
F12	49.8	35.29	40	0
G12	25.1	16.47	18.82	0
H12	62.35	45.1	52.55	0
I12	37.65	26.27	29.41	0
J12	12.55	7.84	9.02	0
K12	74.9	54.9	65.88	0
L12	87.45	70.98	81.18	0
A13	100	0	0	0
B13	0	100	0	0
C13	0	0	100	0
D13	0	0	0	45.1
E13	45.1	35.69	35.69	0
F13	49.8	40	40	0
G13	25.1	18.82	18.82	0
H13	62.35	52.55	52.55	0
I13	37.65	29.41	29.41	0
J13	12.55	9.02	9.02	0
K13	74.9	65.88	65.88	0
L13	87.45	81.18	81.18	0
A14	0	4.71	4.71	0
B14	4.71	0	4.71	0
