press,paper,ink_set,channel,nominal_tone,measured_tone,target_printed_tone,notes
KBA162,Coated paper,CMYK,C,0,0,0,example dataset
KBA162,Coated paper,CMYK,C,10,15,14,example dataset
KBA162,Coated paper,CMYK,C,20,29,28,example dataset
KBA162,Coated paper,CMYK,C,40,54,52,example dataset
KBA162,Coated paper,CMYK,C,50,66,64,example dataset
KBA162,Coated paper,CMYK,C,70,82,80,example dataset
KBA162,Coated paper,CMYK,C,80,90,88,example dataset
KBA162,Coated paper,CMYK,C,100,100,100,example dataset
KBA162,Coated paper,CMYK,M,0,0,0,example dataset
KBA162,Coated paper,CMYK,M,10,16,14,example dataset
KBA162,Coated paper,CMYK,M,20,31,28,example dataset
KBA162,Coated paper,CMYK,M,40,57,52,example dataset
KBA162,Coated paper,CMYK,M,50,69,64,example dataset
KBA162,Coated paper,CMYK,M,70,85,80,example dataset
KBA162,Coated paper,CMYK,M,80,92,88,example dataset
KBA162,Coated paper,CMYK,M,100,100,100,example dataset
KBA162,Coated paper,CMYK,Y,0,0,0,example dataset
KBA162,Coated paper,CMYK,Y,10,14,13,example dataset
KBA162,Coated paper,CMYK,Y,20,27,27,example dataset
KBA162,Coated paper,CMYK,Y,40,51,50,example dataset
KBA162,Coated paper,CMYK,Y,50,62,61,example dataset
KBA162,Coated paper,CMYK,Y,70,79,78,example dataset
KBA162,Coated paper,CMYK,Y,80,87,86,example dataset
KBA162,Coated paper,CMYK,Y,100,100,100,example dataset
KBA162,Coated paper,CMYK,K,0,0,0,example dataset
KBA162,Coated paper,CMYK,K,10,18,15,example dataset
KBA162,Coated paper,CMYK,K,20,34,29,example dataset
KBA162,Coated paper,CMYK,K,40,60,53,example dataset
KBA162,Coated paper,CMYK,K,50,72,65,example dataset
KBA162,Coated paper,CMYK,K,70,86,81,example dataset
KBA162,Coated paper,CMYK,K,80,92,89,example dataset
KBA162,Coated paper,CMYK,K,100,100,100,example dataset
